id,category,turn_1_score,turn_2_score,turn_3_score,turn_4_score
371,4,1,3,1,3
372,4,3,3,3,3
373,4,1,3,3,1
374,4,1,1,2,4
375,5,3,1,3,3
376,5,3,3,3,3
377,5,3,3,3,2
378,5,3,3,3,3
379,5,2,3,3,3
380,5,2,3,3,2
381,5,3,2,3,3
383,5,1,1,3,3
384,5,1,3,3,3
385,5,4,3,4,3
386,5,3,3,2,3
387,5,3,3,3,3
388,5,3,3,3,3
389,5,1,2,3,2
390,5,1,2,2,3
391,5,1,1,3,2
392,5,1,2,3,3
393,5,1,3,3,2
394,5,3,2,3,3
395,5,1,2,3,3
396,5,3,3,2,3
397,5,1,2,2,2
398,5,1,3,3,3
399,5,3,3,2,3
400,5,3,3,3,3
401,5,1,3,3,3
402,5,2,2,3,1
403,5,3,3,3,3
404,5,1,3,2,1
405,5,2,2,3,3
406,5,3,3,3,3
407,5,3,4,2,1
408,5,3,3,3,3
409,5,1,2,3,2
410,5,1,3,3,3
411,5,1,3,3,3
412,5,1,2,2,3
413,5,3,3,4,3
414,5,1,3,3,3
415,5,1,1,3,3
416,5,2,3,2,3
417,5,3,4,4,3
418,5,1,2,3,3
419,5,1,2,3,2
420,5,1,1,1,3
421,5,3,3,3,3
422,5,1,3,3,3
423,5,2,3,3,3
424,5,3,3,3,3
425,5,1,3,1,3
426,5,3,3,3,3
427,5,3,3,3,3
428,5,1,3,2,3
429,5,1,3,2,2
430,5,1,3,3,1
431,5,2,3,3,3
432,5,3,3,1,2
433,5,2,1,2,3
434,5,3,2,3,1
435,5,1,2,3,3
436,5,2,3,3,2
437,5,3,2,2,2
438,5,2,3,3,3
439,5,1,3,3,3
440,5,2,3,3,3
441,5,1,2,3,1
442,5,1,3,3,2
443,5,3,3,3,3
444,5,1,2,2,1
445,5,2,3,3,3
446,5,1,3,3,3
447,5,1,2,3,1
448,5,3,1,3,3
449,5,1,1,2,3
450,5,3,3,2,1
451,5,2,3,3,3
452,5,3,3,3,2
453,5,3,3,1,2
454,5,1,2,1,2
455,5,3,3,3,3
456,5,2,3,3,3
457,5,3,3,3,3
458,5,3,3,3,3
459,5,1,3,2,3
460,5,1,3,3,1
461,5,3,3,3,3
462,5,2,3,2,3
463,5,3,2,3,2
464,5,3,3,3,3
465,5,1,2,2,3
